 date,weekday,downloads
2013-08-27,2,6
2013-08-28,3,40
2013-08-29,4,5
2013-08-30,5,1
2013-08-31,6,3
2013-09-01,0,2
2013-09-02,1,0
2013-09-03,2,1
2013-09-04,3,0
2013-09-05,4,0
2013-09-06,5,1
2013-09-07,6,4
2013-09-08,0,15
2013-09-09,1,17
2013-09-10,2,5
2013-09-11,3,2
2013-09-12,4,7
2013-09-13,5,3
2013-09-14,6,2
2013-09-15,0,5
2013-09-16,1,3
2013-09-17,2,9
2013-09-18,3,10
2013-09-19,4,2
2013-09-20,5,2
2013-09-21,6,1
2013-09-22,0,1
2013-09-23,1,5
2013-09-24,2,7
2013-09-25,3,5
2013-09-26,4,1
2013-09-27,5,3
2013-09-28,6,2
2013-09-29,0,5
2013-09-30,1,9
2013-10-01,2,10
2013-10-02,3,7
2013-10-03,4,2
2013-10-04,5,5
2013-10-05,6,3
2013-10-06,0,3
2013-10-07,1,2
2013-10-08,2,13
2013-10-09,3,6
2013-10-10,4,8
2013-10-11,5,2
2013-10-12,6,4
2013-10-13,0,2
2013-10-14,1,0
2013-10-15,2,3
2013-10-16,3,2
2013-10-17,4,2
2013-10-18,5,3
2013-10-19,6,1
2013-10-20,0,1
2013-10-21,1,1
2013-10-22,2,3
2013-10-23,3,2
2013-10-24,4,1
2013-10-25,5,4
2013-10-26,6,0
2013-10-27,0,2
2013-10-28,1,0
2013-10-29,2,0
2013-10-30,3,0
2013-10-31,4,4
2013-11-01,5,2
2013-11-02,6,2
2013-11-03,0,2
2013-11-04,1,0
2013-11-05,2,1
2013-11-06,3,2
2013-11-07,4,1
2013-11-08,5,3
2013-11-09,6,2
2013-11-10,0,1
2013-11-11,1,2
2013-11-12,2,3
2013-11-13,3,1
2013-11-14,4,2
2013-11-15,5,2
2013-11-16,6,0
2013-11-17,0,0
2013-11-18,1,2
2013-11-19,2,1
2013-11-20,3,0
2013-11-21,4,4
2013-11-22,5,2
2013-11-23,6,1
2013-11-24,0,2
2013-11-25,1,0
2013-11-26,2,2
2013-11-27,3,2
2013-11-28,4,4
2013-11-29,5,1
2013-11-30,6,0
2013-12-01,0,1
2013-12-02,1,0
2013-12-03,2,1
2013-12-04,3,1
2013-12-05,4,3
2013-12-06,5,0
2013-12-07,6,1
2013-12-08,0,0
2013-12-09,1,0
2013-12-10,2,2
2013-12-11,3,0
2013-12-12,4,1
2013-12-13,5,1
2013-12-14,6,1
2013-12-15,0,1
2013-12-16,1,0
2013-12-17,2,2
2013-12-18,3,1
2013-12-19,4,0
2013-12-20,5,0
2013-12-21,6,0
2013-12-22,0,2
2013-12-23,1,0
2013-12-24,2,0
2013-12-25,3,1
2013-12-26,4,1
2013-12-27,5,0
2013-12-28,6,1
2013-12-29,0,0
2013-12-30,1,2
2013-12-31,2,2
2014-01-01,3,2
2014-01-02,4,2
2014-01-03,5,0
2014-01-04,6,1
2014-01-05,0,0
2014-01-06,1,0
2014-01-07,2,1
2014-01-08,3,1
2014-01-09,4,1
2014-01-10,5,1
2014-01-11,6,1
2014-01-12,0,9
2014-01-13,1,7
2014-01-14,2,3
2014-01-15,3,4
2014-01-16,4,0
2014-01-17,5,4
2014-01-18,6,4
2014-01-19,0,1
2014-01-20,1,3
2014-01-21,2,1
2014-01-22,3,2
2014-01-23,4,1
2014-01-24,5,0
2014-01-25,6,4
2014-01-26,0,2
2014-01-27,1,4
2014-01-28,2,2
2014-01-29,3,0
2014-01-30,4,2
2014-01-31,5,4
2014-02-01,6,1
2014-02-02,0,3
2014-02-03,1,0
2014-02-04,2,1
2014-02-05,3,1
2014-02-06,4,1
2014-02-07,5,1
2014-02-08,6,1
2014-02-09,0,0
2014-02-10,1,0
2014-02-11,2,1
2014-02-12,3,2
2014-02-13,4,0
2014-02-14,5,2
2014-02-15,6,1
2014-02-16,0,0
2014-02-17,1,1
2014-02-18,2,1
2014-02-19,3,0
2014-02-20,4,1
2014-02-21,5,1
2014-02-22,6,2
2014-02-23,0,0
2014-02-24,1,1
2014-02-25,2,1
2014-02-26,3,0
2014-02-27,4,2
2014-02-28,5,1
2014-03-01,6,0
2014-03-02,0,2
2014-03-03,1,1
2014-03-04,2,1
2014-03-05,3,1
2014-03-06,4,0
2014-03-07,5,0
2014-03-08,6,0
2014-03-09,0,9
2014-03-10,1,17
2014-03-11,2,7
2014-03-12,3,3
2014-03-13,4,5
2014-03-14,5,1
2014-03-15,6,2
2014-03-16,0,1
2014-03-17,1,3
2014-03-18,2,1
2014-03-19,3,5
2014-03-20,4,3
2014-03-21,5,3
2014-03-22,6,4
2014-03-23,0,0
2014-03-24,1,1
2014-03-25,2,2
2014-03-26,3,3
2014-03-27,4,1
2014-03-28,5,1
2014-03-29,6,2
2014-03-30,0,2
2014-03-31,1,3
2014-04-01,2,5
2014-04-02,3,2
2014-04-03,4,1
2014-04-04,5,2
2014-04-05,6,1
2014-04-06,0,1
2014-04-07,1,2
2014-04-08,2,0
2014-04-09,3,4
2014-04-10,4,0
2014-04-11,5,2
2014-04-12,6,1
2014-04-13,0,5
2014-04-14,1,5
2014-04-15,2,4
2014-04-16,3,1
2014-04-17,4,2
2014-04-18,5,0
2014-04-19,6,1
2014-04-20,0,4
2014-04-21,1,1
2014-04-22,2,1
2014-04-23,3,1
2014-04-24,4,1
2014-04-25,5,0
2014-04-26,6,1
2014-04-27,0,1
2014-04-28,1,1
2014-04-29,2,3
2014-04-30,3,8
2014-05-01,4,7
2014-05-02,5,7
2014-05-03,6,9
2014-05-04,0,2
2014-05-05,1,2
2014-05-06,2,5
2014-05-07,3,2
2014-05-08,4,1
2014-05-09,5,4
2014-05-10,6,0
2014-05-11,0,2
2014-05-12,1,2
2014-05-13,2,3
2014-05-14,3,1
2014-05-15,4,1
2014-05-16,5,1
2014-05-17,6,1
2014-05-18,0,2
2014-05-19,1,0
2014-05-20,2,0
2014-05-21,3,4
2014-05-22,4,2
2014-05-23,5,1
2014-05-24,6,2
2014-05-25,0,4
2014-05-26,1,6
2014-05-27,2,13
2014-05-28,3,5
2014-05-29,4,4
2014-05-30,5,3
2014-05-31,6,4
2014-06-01,0,5
2014-06-02,1,3
2014-06-03,2,4
2014-06-04,3,12
2014-06-05,4,9
2014-06-06,5,12
2014-06-07,6,4
2014-06-08,0,2
2014-06-09,1,4
2014-06-10,2,1
2014-06-11,3,2
2014-06-12,4,0
2014-06-13,5,1
2014-06-14,6,3
2014-06-15,0,2
2014-06-16,1,4
2014-06-17,2,1
2014-06-18,3,2
2014-06-19,4,1
2014-06-20,5,1
2014-06-21,6,1
2014-06-22,0,1
2014-06-23,1,4
2014-06-24,2,4
2014-06-25,3,2
2014-06-26,4,0
2014-06-27,5,3
2014-06-28,6,0
2014-06-29,0,3
2014-06-30,1,1
2014-07-01,2,1
2014-07-02,3,1
2014-07-03,4,0
2014-07-04,5,2
2014-07-05,6,0
2014-07-06,0,6
2014-07-07,1,0
2014-07-08,2,0
2014-07-09,3,2
2014-07-10,4,2
2014-07-11,5,0
2014-07-12,6,3
2014-07-13,0,1
2014-07-14,1,1
2014-07-15,2,1
2014-07-16,3,3
2014-07-17,4,1
2014-07-18,5,0
2014-07-19,6,0
2014-07-20,0,2
2014-07-21,1,0
2014-07-22,2,0
2014-07-23,3,0
2014-07-24,4,2
2014-07-25,5,2
2014-07-26,6,1
2014-07-27,0,0
2014-07-28,1,0
2014-07-29,2,1
2014-07-30,3,2
2014-07-31,4,2
2014-08-01,5,1
2014-08-02,6,1
2014-08-03,0,0
2014-08-04,1,0
2014-08-05,2,3
2014-08-06,3,2
2014-08-07,4,1
2014-08-08,5,1
2014-08-09,6,0
2014-08-10,0,3
2014-08-11,1,1
2014-08-12,2,1
2014-08-13,3,0
2014-08-14,4,0
2014-08-15,5,1
2014-08-16,6,1
2014-08-17,0,1
2014-08-18,1,2
2014-08-19,2,1
2014-08-20,3,2
2014-08-21,4,2
2014-08-22,5,5
2014-08-23,6,11
2014-08-24,0,6
2014-08-25,1,4
2014-08-26,2,4
2014-08-27,3,2
2014-08-28,4,0
2014-08-29,5,4
2014-08-30,6,1
2014-08-31,0,6
2014-09-01,1,4
2014-09-02,2,3
2014-09-03,3,2
2014-09-04,4,8
2014-09-05,5,18
2014-09-06,6,5
2014-09-07,0,1
2014-09-08,1,0
2014-09-09,2,5
2014-09-10,3,5
2014-09-11,4,2
2014-09-12,5,2
2014-09-13,6,3
2014-09-14,0,3
2014-09-15,1,0
2014-09-16,2,1
2014-09-17,3,3
2014-09-18,4,2
2014-09-19,5,1
2014-09-20,6,2
2014-09-21,0,0
2014-09-22,1,0
2014-09-23,2,4
2014-09-24,3,3
2014-09-25,4,2
2014-09-26,5,3
2014-09-27,6,2
2014-09-28,0,5
2014-09-29,1,1
2014-09-30,2,1
2014-10-01,3,3
2014-10-02,4,1
2014-10-03,5,3
2014-10-04,6,3
2014-10-05,0,1
2014-10-06,1,1
2014-10-07,2,0
2014-10-08,3,1
2014-10-09,4,2
2014-10-10,5,4
2014-10-11,6,4
2014-10-12,0,3
2014-10-13,1,2
2014-10-14,2,0
2014-10-15,3,1
2014-10-16,4,0
2014-10-17,5,0
2014-10-18,6,0
